LeagueID,Name
7,"Playoff Season - Western Colorado Hockey League (WCHL) 2022-2023"
6,"Regular Season - Western Colorado Hockey League (WCHL) 2022-2023"
5,WCHL
8,"WCHL IND"
1,"WEHA Fall Adult Leagues 2022"
2,"WEHA Fall Adult Leagues 2023"
3,"WEHA Fall Adult Leagues 2024"
4,"WEHA Fall Adult Leagues 2025"
13,"Winter CB Town League 2023"
14,"Winter CB Town League 2024"
15,"Winter CB Town League 2025"
16,"Winter CB Town League 2026"
9,"Winter Gunnison League 2023"
10,"Winter Gunnison League 2024"
11,"Winter Gunnison League 2025"
12,"Winter Gunnison League 2026"
