league,division,teamName,teamId,wins,loses,ties,gamesPlayed
WEHA Fall Adult Leagues 2025,A League,Pike Construction,418628,8,4,2,14
WEHA Fall Adult Leagues 2025,A League,Marios,418627,8,6,0,14
WEHA Fall Adult Leagues 2025,A League,Rocky Mountain Trees,418629,7,6,1,14
WEHA Fall Adult Leagues 2025,A League,Dietrich,418624,7,6,1,14
WEHA Fall Adult Leagues 2025,A League,Inn at Tomichi,418626,6,6,2,14
WEHA Fall Adult Leagues 2025,A League,Three Rivers Resort,418630,2,10,2,14
WEHA Fall Adult Leagues 2025,B League,GVVC,418636,11,0,3,14
WEHA Fall Adult Leagues 2025,B League,Econo/QUALITY INN,418634,10,4,0,14
WEHA Fall Adult Leagues 2025,B League,GVH,418625,9,4,1,14
WEHA Fall Adult Leagues 2025,B League,SAW,418631,8,4,1,14
WEHA Fall Adult Leagues 2025,B League,NuVista,418637,7,5,2,14
WEHA Fall Adult Leagues 2025,B League,Alpine Lumber,418632,6,7,0,13
WEHA Fall Adult Leagues 2025,B League,Gunnison Bank,418635,4,7,3,14
WEHA Fall Adult Leagues 2025,B League,REG,418638,2,9,2,13
WEHA Fall Adult Leagues 2025,B League,Sleightholm Workshop,418639,1,8,4,13
WEHA Fall Adult Leagues 2025,B League,CB Electric,418633,2,11,0,13
WEHA Fall Adult Leagues 2025,C League,TEAM GO,418640,7,2,2,11
WEHA Fall Adult Leagues 2025,C League,PALISADES,421034,4,4,3,11
WEHA Fall Adult Leagues 2025,C League,ALL SPORTS,421035,3,5,3,11
WEHA Fall Adult Leagues 2025,C League,MIKEY'S PIZZA,418641,2,5,4,11
WEHA Fall Adult Leagues 2024,A League,Pike Construction,281077,7,0,3,13
WEHA Fall Adult Leagues 2024,A League,Marios,281076,7,0,3,13
WEHA Fall Adult Leagues 2024,A League,Dietrich,281073,6,0,2,13
WEHA Fall Adult Leagues 2024,A League,Rocky Mountain Trees,281078,6,0,0,13
WEHA Fall Adult Leagues 2024,A League,Inn at Tomichi,281075,4,0,1,13
WEHA Fall Adult Leagues 2024,A League,Three Rivers Resort,281079,4,0,1,13
WEHA Fall Adult Leagues 2024,B League,CB Electric,281082,10,0,2,15
WEHA Fall Adult Leagues 2024,B League,GVH,281074,9,0,2,15
WEHA Fall Adult Leagues 2024,B League,EconoLodge/QUALITY INN,281083,9,0,1,15
WEHA Fall Adult Leagues 2024,B League,Gunnison Valley Vet Clinic,281086,7,0,2,14
WEHA Fall Adult Leagues 2024,B League,Gunnison Valley Bank,281085,6,0,2,15
WEHA Fall Adult Leagues 2024,B League,NuVista,281087,6,0,2,14
WEHA Fall Adult Leagues 2024,B League,Alpine Lumber,281081,5,0,2,14
WEHA Fall Adult Leagues 2024,B League,All Sports,281080,5,0,2,14
WEHA Fall Adult Leagues 2024,B League,Sleightholm Workshop,281089,4,0,1,14
WEHA Fall Adult Leagues 2024,B League,REG,281088,2,0,2,14
WEHA Fall Adult Leagues 2024,C League,GUNNISON COUNTRY TIMES,281386,6,0,2,9
WEHA Fall Adult Leagues 2024,C League,TEAM GO,281385,1,0,2,9
WEHA Fall Adult Leagues 2022,A League,Three Rivers Resort,82472,10,0,1,14
WEHA Fall Adult Leagues 2022,A League,Dietrich,82471,8,0,0,13
WEHA Fall Adult Leagues 2022,A League,Rocky Mountain Trees,82468,8,0,0,14
WEHA Fall Adult Leagues 2022,A League,GVH,82470,6,0,0,13
WEHA Fall Adult Leagues 2022,A League,Marios,82473,4,0,1,12
WEHA Fall Adult Leagues 2022,A League,Inn at Tomichi,82467,3,0,2,12
WEHA Fall Adult Leagues 2022,A League,Pike Construction,82469,3,0,2,12
WEHA Fall Adult Leagues 2022,B League,CB Electric,82476,12,0,2,14
WEHA Fall Adult Leagues 2022,B League,EconoLodge,82477,9,0,2,14
WEHA Fall Adult Leagues 2022,B League,REG,82482,9,0,0,13
WEHA Fall Adult Leagues 2022,B League,Gunnison Pizza Company,82478,7,0,0,13
WEHA Fall Adult Leagues 2022,B League,All Sports,82474,5,0,2,13
WEHA Fall Adult Leagues 2022,B League,Alpine Lumber,82475,4,0,3,12
WEHA Fall Adult Leagues 2022,B League,Gunnison Valley Vet Clinic,82480,4,0,3,12
WEHA Fall Adult Leagues 2022,B League,Sleightholm Workshop,82483,4,0,1,12
WEHA Fall Adult Leagues 2022,B League,Gunnison Valley Bank,82479,2,0,1,13
