DivisionID,LeagueID,Name
1,1,"A League"
2,1,"B League"
3,2,"A League"
4,2,"B League"
5,3,"A League"
6,3,"B League"
7,3,"C League"
8,4,"A League"
9,4,"B League"
10,4,"C League"
11,5,"10U A"
12,5,"10U B"
13,5,"12U A"
14,5,"12U B"
15,5,"14U A"
16,5,"14U B"
17,6,"WCHL IND"
18,7,"10UA Blue"
19,7,"10UB White"
20,7,"12 U A"
21,7,"12 U B"
22,7,"14U A"
23,7,14UB
24,8,non-League
25,9,"C League"
26,9,"Open Division"
27,10,"A League"
28,10,"B League"
29,10,"C League"
30,10,"SOUTHWEST CUP"
31,11,"A League"
32,11,"B League"
33,11,"C League"
34,11,"SOUTHWEST CUP"
35,12,"A League"
36,12,"B League"
37,12,"C League"
38,12,"SOUTHWEST CUP"
39,13,"Town League"
40,14,"A/B League"
41,14,"C/B League"
42,15,"A/B League"
43,15,"C/B League"
44,16,"A/B League"
45,16,"C/B League"
