SeasonID,LeagueID,Name
1622,5,"Regular Season - Western Colorado Hockey League (WCHL) 2022-2023"
1851,1,"WEHA Fall Adult Leagues 2022"
2750,13,"Winter CB Town League 2023"
2752,9,"Winter Gunnison League 2023"
3094,7,"Playoff Season - Western Colorado Hockey League (WCHL) 2022-2023"
3926,5,"Regular Season - Western Colorado Hockey League (WCHL) 2023-2024"
4243,2,"WEHA Fall Adult Leagues 2023"
5241,10,"Winter Gunnison League 2024"
5242,14,"Winter CB Town League 2024"
6770,5,"Regular Season - Western Colorado Hockey League (WCHL) 2024-2025"
7228,3,"WEHA Fall Adult Leagues 2024"
8521,15,"Winter CB Town League 2025"
8522,11,"Winter Gunnison League 2025"
11383,5,"Regular Season - Western Colorado Hockey League (WCHL) 2025-2026"
11615,4,"WEHA Fall Adult Leagues 2025"
12868,12,"Winter Gunnison League 2026"
12869,16,"Winter CB Town League 2026"
