TeamID,DivisionID,LeagueID,Name,Wins,Loses,Ties,GamesPlayed
78877,15,5,"WCHL Aspen 14U A",12,0,1,18
78878,15,5,"WCHL Glenwood 14U A",8,0,0,18
78879,15,5,"WCHL Grand Junction 14U A",1,0,0,16
78880,15,5,"WCHL Steamboat 14U A",14,0,2,18
78881,15,5,"WCHL Summit 14U A",8,0,3,18
78907,15,5,"WCHL Telluride 14U A",5,0,4,18
78908,15,5,"WCHL Vail 14U A",14,0,0,16
78909,15,5,"WCHL West Elk 14U A",9,0,3,21
78910,16,5,"WCHL Aspen 14U B",16,0,1,24
78911,16,5,"WCHL Grand Junction 14U B",0,0,0,19
78912,16,5,"WCHL Summit 14U B",6,0,1,23
78913,16,5,"WCHL Telluride 14U B",8,0,1,16
78914,16,5,"WCHL Vail 14U B Blue",12,0,1,20
78915,16,5,"WCHL Vail 14U B White",17,0,0,20
78916,13,5,"WCHL Aspen/Glenwood 12U A",12,0,2,17
78917,13,5,"WCHL Grand Junction 12U A",0,0,0,18
78918,13,5,"WCHL Steamboat 12U A",8,0,2,17
78919,13,5,"WCHL Summit 12U A",13,0,2,18
78920,13,5,"WCHL Telluride 12U A",7,0,0,18
78921,13,5,"WCHL Vail 12U A",12,0,1,17
78922,13,5,"WCHL West Elk 12U A",2,0,0,18
78923,14,5,"WCHL Aspen 12U B",12,0,1,18
78924,14,5,"WCHL Glenwood 12U B",6,0,1,15
78925,14,5,"WCHL Grand Junction 12U B",1,0,0,14
78926,14,5,"WCHL Steamboat 12U B",7,0,3,16
78927,14,5,"WCHL Summit 12U B",5,0,0,16
78928,14,5,"WCHL Telluride 12U B",5,0,0,16
78929,14,5,"WCHL Vail 12U B Blue",16,0,1,17
78930,14,5,"WCHL Vail 12U B White",14,0,2,17
78931,14,5,"WCHL West Elk 12U B",3,0,1,17
78932,11,5,"WCHL Aspen 10U A",3,0,2,15
78934,11,5,"WCHL Grand Junction 10U A",1,0,3,15
78935,11,5,"WCHL Steamboat 10U A",7,0,1,15
78936,11,5,"WCHL Summit 10U A",12,0,0,15
78937,11,5,"WCHL Telluride 10U A",12,0,1,15
78938,11,5,"WCHL Vail 10U A Blue",0,0,2,16
78939,11,5,"WCHL Vail 10U A White",10,0,1,17
78940,11,5,"WCHL West Elk 10U A",7,0,4,17
78942,12,5,"WCHL Aspen 10U B",14,0,0,15
78943,12,5,"WCHL Glenwood 10U B",5,0,3,15
78944,12,5,"WCHL Grand Junction 10U B",2,0,1,15
78945,12,5,"WCHL Steamboat 10U B",9,0,3,15
78946,12,5,"WCHL Summit 10U B",4,0,3,15
78947,12,5,"WCHL Telluride 10U B",2,0,0,15
78948,12,5,"WCHL Vail 10U B Blue",9,0,1,16
78949,12,5,"WCHL Vail 10U B White",8,0,3,16
78950,12,5,"WCHL West Elk 10U B",8,0,5,17
82467,1,1,"Inn at Tomichi",3,0,2,12
82468,1,1,"Rocky Mountain Trees",8,0,0,14
82469,1,1,"Pike Construction",3,0,2,12
82470,1,1,GVH,6,0,0,13
82471,1,1,Dietrich,8,0,0,13
82472,1,1,"Three Rivers Resort",10,0,1,14
82473,1,1,Marios,4,0,1,12
82474,2,1,"All Sports",5,0,2,13
82475,2,1,"Alpine Lumber",4,0,3,12
82476,2,1,"CB Electric",12,0,2,14
82477,2,1,EconoLodge,9,0,2,14
82478,2,1,"Gunnison Pizza Company",7,0,0,13
82479,2,1,"Gunnison Valley Bank",2,0,1,13
82480,2,1,"Gunnison Valley Vet Clinic",4,0,3,12
82481,2,1,NuVista,1,0,0,12
82482,2,1,REG,9,0,0,13
82483,2,1,"Sleightholm Workshop",4,0,1,12
86594,17,6,"IND Durango 10U A",10,0,0,13
86595,17,6,"IND Durango 10U B",5,0,1,13
86596,17,6,"IND Durango 12U A",9,0,1,11
86597,17,6,"IND Durango 14U A",0,0,1,13
86598,17,6,"IND Durango 12U B",4,0,1,10
106494,26,9,"Nu Vista",7,0,1,13
106495,26,9,Marios,5,0,1,14
106496,26,9,GVVC,4,0,0,13
106497,26,9,EconoLodge,4,0,1,13
106498,26,9,"Inn at Tomichi Village",12,0,0,15
106499,26,9,"Pike Builders",9,0,1,14
106500,26,9,"Gunnison Pizza Company",9,0,2,15
106501,26,9,"Three Rivers Resort",2,0,0,13
106502,25,9,"Dietrich Dirtworks",3,0,1,8
